fclass,year,quarter,quarter_num,NDVI,BSI,ndvi_qoq_change,bsi_qoq_change
service,2022,Q2,2,0.20174267064439225,0.11253585515402549,0.040503314872291724,-0.05265332241086411
service,2022,Q3,3,0.32475379082429173,0.05018958024174872,0.12301112017989949,-0.06234627491227677
service,2022,Q4,4,0.21912400793677478,0.13014062547839217,-0.10562978288751695,0.07995104523664345
service,2023,Q1,1,0.16891935942553551,0.14527859162483547,-0.050204648511239264,0.015137966146443305
service,2023,Q2,2,0.19788059198101676,0.10171899968112741,0.028961232555481248,-0.043559591943708065
service,2023,Q3,3,0.32600623565424297,0.022686741741629816,0.1281256436732262,-0.07903225793949759
service,2023,Q4,4,0.21418178079884306,0.1301756640713104,-0.11182445485539991,0.10748892232968058
tertiary,2017,Q1,1,0.22963306717751905,0.2035832492582536,,
tertiary,2017,Q4,4,0.22546346287095792,0.1690735582261521,-0.004169604306561131,-0.0345096910321015
tertiary,2018,Q1,1,0.224069001463394,0.200807930688088,-0.0013944614075639128,0.03173437246193589
tertiary,2018,Q2,2,0.38572396841615975,0.09600675762557258,0.16165496695276574,-0.10480117306251542
tertiary,2018,Q4,4,0.21988091349052913,0.09434084111687031,-0.16584305492563062,-0.0016659165087022643
tertiary,2019,Q1,1,0.21366467039886994,0.14824449351447697,-0.00621624309165919,0.05390365239760665
tertiary,2019,Q2,2,0.24704553588251885,0.0901500393859268,0.03338086548364891,-0.05809445412855016
tertiary,2019,Q3,3,0.12111215060923745,0.006202871962161329,-0.1259333852732814,-0.08394716742376547
tertiary,2019,Q4,4,0.2679024943372515,0.101072556333533,0.14679034372801403,0.09486968437137167
tertiary,2020,Q1,1,0.20395173507177541,0.13699185234961003,-0.06395075926547608,0.03591929601607703
tertiary,2020,Q2,2,0.23835123668048905,0.09941100933601245,0.034399501608713634,-0.037580843013597584
tertiary,2020,Q3,3,0.255778787479243,0.08037881672079862,0.017427550798753938,-0.019032192615213828
tertiary,2020,Q4,4,0.23641179060378784,0.09739414872382605,-0.01936699687545515,0.017015332003027434
tertiary,2021,Q1,1,0.1901393438498458,0.11452613538495239,-0.04627244675394204,0.017131986661126336
tertiary,2021,Q2,2,0.2153169092486783,0.11024653353344567,0.025177565398832508,-0.00427960185150672
